TICKER,CORPORATE_CCANAME,CORPORATE_ENAME1
T1960,サンテック,SANYO ENGINEERING & CONSTRUCT.
T1961,三機工業,SANKI ENGINEERING
T1963,日揮ホールディングス,JGC HOLDINGS
T1964,中外炉工業,CHUGAI RO
T1965,テクノ菱和,TECHNO RYOWA
T1966,高田工業所,TAKADA
T1967,ヤマト,YAMATO
T1968,太平電業,TAIHEI DENGYO
T1969,高砂熱学工業,TAKASAGO THERMAL ENGINEERING
T196A,ＭＦＳ,MFS
T1972,三晃金属工業,SANKO METAL INDUSTRIAL
T1975,朝日工業社,ASAHI KOGYOSHA
T1976,明星工業,MEISEI INDUSTRIAL
T1979,大気社,TAIKISHA
T197A,タウンズ,TAUNS LABORATORIES
T1980,ダイダン,DAI-DAN
T1981,協和日成,KYOWANISSEI
T1982,日比谷総合設備,HIBIYA ENGINEERING
T198A,ＰｏｓｔＰｒｉｍｅ,POSTPRIME
T1992,神田通信機,KANDA TSUSHINKI
T1994,高橋カーテンウォール工業,TAKAHASHI CURTAIN WALL
T1997,暁飯島工業,AKATSUKI EAZIMA
T1999,サイタホールディングス,SAITA
T199A,メディエア,MEDIAIR
T2001,ニップン,NIPPN
T2002,日清製粉グループ本社,NISSHIN SEIFUN GROUP
T2003,日東富士製粉,NITTO FUJI FLOUR MILLING
T2004,昭和産業,SHOWA SANGYO
T2009,鳥越製粉,TORIGOE
T202A,豆蔵デジタルホールディングス,MAMEZO DIGITAL HOLDINGS
T203A,シュンビン,SHUNBIN
T204A,タイヨーパッケージ,TAIYOPACKAGE
T2053,中部飼料,CHUBU SHIRYO
T2055,日和産業,NICHIWA SANGYO
T2058,ヒガシマル,HIGASHIMARU
T205A,ロゴスホールディングス,LOGOS HOLDINGS
T2060,フィード・ワン,FEED ONE
T206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,PRISM BIOLAB
T207A,ライジングコーポレーション,RISING CORPORATION
T208A,構造計画研究所ホールディングス,KOZO KEIKAKU ENGINEERING HOLDI
T209A,小野谷機工,ONODANI MACHINE
T2108,日本甜菜製糖,NIPPON BEET SUGAR MFG.
T2109,ＤＭ三井製糖,MITSUI DM SUGAR
T2112,塩水港精糖,ENSUIKO SUGAR REFINING
T2114,フジ日本,FUJI NIHON
T2117,ウェルネオシュガー,WELLNEO SUGAR
T211A,カドス・コーポレーション,CADOS
T2120,ＬＩＦＵＬＬ,LIFULL
T2121,ＭＩＸＩ,MIXI
T2122,インタースペース,INTERSPACE
T2124,ジェイエイシーリクルートメント,JAC RECRUITMENT
T2127,日本Ｍ＆Ａセンターホールディン,NIHON M&A CENTER HOLDINGS
T212A,フィットイージー,FIT EASY
T2130,メンバーズ,MEMBERS
T2134,北浜キャピタルパートナーズ,KITAHAMA CAPITAL PARTNERS
T2136,ヒップ,HIP
T2137,光ハイツ・ヴェラス,HIKARI HEIGHTS-VARUS
T2138,クルーズ,CROOZ
T2139,中広,CHUCO
T2146,ＵＴグループ,UT GROUP
T2148,アイティメディア,ITMEDIA
T2150,ケアネット,CARENET
T2152,幼児活動研究会,YOUJI
T2153,Ｅ・Ｊホールディングス,E.J HOLDINGS
T2154,オープンアップグループ,OPEN UP GROUP
T2156,セーラー広告,SAYLOR ADVERTISING
T2157,コシダカホールディングス,KOSHIDAKA HOLDINGS
T2158,ＦＲＯＮＴＥＯ,FRONTEO
T215A,タイミー,TIMEE
T2160,ジーエヌアイグループ,GNI GROUP
T2162,ｎｍｓ　ホールディングス,NMS HOLDINGS
T2163,アルトナー,ARTNER
T2164,地域新聞社,CHIIKISHINBUNSHA
T2168,パソナグループ,PASONA GROUP
T2169,ＣＤＳ,CDS
T216A,ライフクリエイト,LIFE CREATE
T2170,リンクアンドモチベーション,LINK AND MOTIVATION
T2172,インサイト,INSIGHT
T2173,博展,HAKUTEN
T2175,エス・エム・エス,SMS
T2179,成学社,SEIGAKUSHA
T217A,サポート,SUPPORT
T2180,サニーサイドアップグループ,SUNNY SIDE UP GROUP
T2181,パーソルホールディングス,PERSOL HOLDINGS
T2183,リニカル,LINICAL
T2185,シイエム・シイ,CMC
T2186,ソーバル,SOBAL
T218A,Ｌｉｂｅｒａｗａｒｅ,LIBERAWARE
T2193,クックパッド,COOKPAD
T2195,アミタホールディングス,AMITA HOLDINGS
T2196,エスクリ,ESCRIT
T2198,アイ・ケイ・ケイホールディング,IKK HOLDINGS
T219A,Ｈｅａｒｔｓｅｅｄ,HEARTSEED
T2201,森永製菓,MORINAGA
T2204,中村屋,NAKAMURAYA
T2206,江崎グリコ,EZAKI GLICO
T2207,名糖産業,MEITO SANGYO
T2208,ブルボン,BOURBON
T2209,井村屋グループ,IMURAYA GROUP
T220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,FABER COMPANY
T2211,不二家,FUJIYA
T2212,山崎製パン,YAMAZAKI BAKING
T2215,第一屋製パン,FIRST BAKING
T2216,カンロ,KANRO
T2217,モロゾフ,MOROZOFF
T2218,日糧製パン,NICHIRYO BAKING
T2220,亀田製菓,KAMEDA SEIKA
T2221,岩塚製菓,IWATSUKA CONFECTIONERY
T2222,寿スピリッツ,KOTOBUKI SPIRITS
T2224,コモ,COMO
T2226,湖池屋,KOIKE-YA
T2229,カルビー,CALBEE
T222A,ＮＩＣＳ,NIPPON INFORMATION CONTROL SYS
T2264,森永乳業,MORINAGA MILK INDUSTRY
T2266,六甲バター,ROKKO BUTTER
T2267,ヤクルト本社,YAKULT HONSHA
T2268,Ｂ－Ｒ３１アイスクリーム,B-R 31 ICE CREAM
T2269,明治ホールディングス,MEIJI HOLDINGS
T226A,勝美ジャパン,KATSU MI JAPAN
T2270,雪印メグミルク,MEGMILK SNOW BRAND
T227A,ＩＮＳＩＧＨＴ　ＬＡＢ,INSIGHT LAB
T2281,プリマハム,PRIMA MEAT PACKERS
T2282,日本ハム,NH FOODS
T2286,林兼産業,HAYASHIKANE SANGYO
T2288,丸大食品,MARUDAI FOOD
T228A,オプロ,OPRO
T2291,福留ハム,FUKUTOME MEAT PACKERS
T2292,エスフーズ,S FOODS
T2293,滝沢ハム,TAKIZAWA HAM
T2294,柿安本店,KAKIYASU HONTEN
T2296,伊藤ハム米久ホールディングス,ITOHAM YONEKYU HOLDINGS
T229A,アスミホールディングス,ASUMI HD
T2300,きょくとう,KYOKUTO
T2301,学情,GAKUJO
T2303,ドーン,DAWN
T2304,ＣＳＳホールディングス,CSS HOLDINGS
T2305,スタジオアリス,STUDIO ALICE
T2307,クロスキャット,CROSS CAT
T2311,エプコ,EPCO
T2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,CAICA DIGITAL
T2317,システナ,SYSTENA
T231A,Ｃｒｏｓｓ　Ｅホールディングス,CROSS E HOLDINGS CORPORATION
T2321,ソフトフロントホールディングス,SOFTFRONT HOLDINGS
T2323,ｆｏｎｆｕｎ,FONFUN
T2325,ＮＪＳ,NJS
T2326,デジタルアーツ,DIGITAL ARTS
T2327,日鉄ソリューションズ,NS SOLUTIONS
T2329,東北新社,TOHOKUSHINSHA FILM
T2330,フォーサイド,FORSIDE
T2331,ＡＬＳＯＫ,ALSOK
T2332,クエスト,QUEST
T2334,イオレ,EOLE
T2335,キューブシステム,CUBE SYSTEM
T2337,いちご,ICHIGO
T2338,クオンタムソリューションズ,QUANTUM SOLUTIONS
T2340,極楽湯ホールディングス,GOKURAKUYU HOLDINGS
T2341,アルバイトタイムス,ARBEIT-TIMES
T2342,トランスジェニックグループ,TRANSGENIC GROUP
T2344,平安レイサービス,HEIAN CEREMONY SERVICE
T2345,クシム,KUSHIM
T2349,エヌアイデイ,NIPPON INFORMATION DEVELOPMENT
T2351,ＡＳＪ,ASJ
T2353,日本駐車場開発,NIPPON PARKING DEVELOPMENT
T2354,ＹＥ　ＤＩＧＩＴＡＬ,YE DIGITAL
T2359,コア,CORE
T2370,メディネット,MEDINET
T2371,カカクコム,KAKAKU.COM
T2373,ケア２１,CARE TWENTYONE
T2374,セントケア・ホールディング,SAINT-CARE HOLDING
T2375,ギグワークス,GIG WORKS
T2376,サイネックス,SCINEX
T2378,ルネサンス,RENAISSANCE
T2379,ディップ,DIP
T2384,ＳＢＳホールディングス,SBS HOLDINGS
T2385,総医研ホールディングス,SOIKEN HOLDINGS
T2388,ウェッジホールディングス,WEDGE HOLDINGS
T2389,デジタルホールディングス,DIGITAL HOLDINGS
T2391,プラネット,PLANET
T2393,日本ケアサプライ,NIPPON CARE SUPPLY
T2395,新日本科学,SHIN NIPPON BIOMEDICAL LABORAT
T239A,バレッグス,BALLEGGS
T2404,鉄人化ホールディングス,TETSUJIN HOLDINGS
T2408,ＫＧ情報,KG INTELLIGENCE
T2410,キャリアデザインセンター,CAREER DESIGN CENTER
T2411,ゲンダイエージェンシー,GENDAI AGENCY
T2413,エムスリー,M3
T2415,ヒューマンホールディングス,HUMAN HOLDINGS
T2418,ツカダ・グローバルホールディン,TSUKADA GLOBAL HOLDINGS
T241A,ＲＯＸＸ,ROXX
T2424,ブラス,BRASS
T2425,ケアサービス,CARE SERVICE
T2428,ウェルネット,WELLNET
T2429,ワールドホールディングス,WORLD HOLDINGS
T242A,リプライオリティ,REPRIORITY
T2432,ディー・エヌ・エー,DENA
T2433,博報堂ＤＹホールディングス,HAKUHODO DY HOLDINGS
T2435,シダー,CEDAR.
T2436,共同ピーアール,KYODO PUBLIC RELATIONS
T2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌ,SHINWA WISE HOLDINGS
T2438,アスカネット,ASUKANET
T243A,トップス,TOPS
T2440,ぐるなび,GURUNAVI
T2445,タカミヤ,TAKAMIYA
T2449,プラップジャパン,PRAP JAPAN
T244A,グロースエクスパートナーズ,GROWTH XPARTNERS
T2452,コンピュータマインド,COMPUTER MIND
T2454,オールアバウト,ALL ABOUT
T2459,アウンコンサルティング,AUN CONSULTING
T245A,ＩＮＧＳ,INGS
T2461,ファンコミュニケーションズ,FAN COMMUNICATIONS
T2462,ライク,LIKE
T2464,Ａｏｂａ－ＢＢＴ,AOBA-BBT
T2467,バルクホールディングス,VLC HOLDINGS
T2469,ヒビノ,HIBINO
T246A,アスア,ASUA
T2471,エスプール,S-POOL
T2475,ＷＤＢホールディングス,WDB HOLDINGS
T2477,手間いらず,TEMAIRAZU
T2479,ジェイテック,JTEC
T247A,Ａｉロボティクス,AI ROBOTICS
T2480,システム・ロケーション,SYSTEM LOCATION
T2481,タウンニュース社,TOWNNEWS-SHA
T2483,翻訳センター,HONYAKU CENTER
T2484,出前館,DEMAE-CAN
T2485,ティア,TEAR
T2488,ＪＴＰ,JTP
T2489,アドウェイズ,ADWAYS
T248A,キッズスター,KIDS STAR
T2491,バリューコマース,VALUECOMMERCE
T2492,インフォマート,INFOMART
T2493,イーサポートリンク,E-SUPPORTLINK
T2497,ユナイテッド,UNITED
T2498,オリエンタルコンサルタンツホー,ORIENTAL CONSULTANTS HOLDINGS
T2499,日本和装ホールディングス,NIHONWASOU HOLDINGS
T249A,ヒューマンアジャスト,HUMAN ADJUST
T2501,サッポロホールディングス,SAPPORO HOLDINGS
T2502,アサヒグループホールディングス,ASAHI GROUP HOLDINGS
T2503,キリンホールディングス,KIRIN HOLDINGS
T250A,シマダヤ,SHIMADAYA
T251A,ニューロマジック,NEUROMAGIC
T252A,ウェッジ,WEDGE
T2531,宝ホールディングス,TAKARA HOLDINGS
T2533,オエノンホールディングス,OENON HOLDINGS
T253A,ＥＴＳグループ,ETS GROUP
T2540,養命酒製造,YOMEISHU SEIZO
T254A,ＡＩフュージョンキャピタルグル,AI FUSION CAPITAL GROUP
T2551,マルサンアイ,MARUSAN-AI
T255A,ジーエルテクノホールディングス,GLTECHNO HOLDINGS
T256A,飛島ホールディングス,TOBISHIMA HOLDINGS
T2573,北海道コカ・コーラボトリング,HOKKAIDO COCA-COLA BOTTLING
T2579,コカ・コーラ　ボトラーズジャパ,COCA-COLA BOTTLERS JAPAN HOLDI
T2585,ライフドリンク　カンパニー,LIFEDRINK COMPANY
T2586,フルッタフルッタ,FRUTA FRUTA
T2587,サントリー食品インターナショナ,SUNTORY BEVERAGE & FOOD
T2588,プレミアムウォーターホールディ,PREMIUM WATER HOLDINGS
T2590,ダイドーグループホールディング,DYDO GROUP HOLDINGS
T2593,伊藤園,ITO EN
T2594,キーコーヒー,KEY COFFEE
T2597,ユニカフェ,UNICAFE
T259A,ケイ・ウノ,K-UNO
T2602,日清オイリオグループ,NISSHIN OILLIO GROUP
T2607,不二製油,FUJI OIL
T260A,オルツ,ALT
T2612,かどや製油,KADOYA SESAME MILLS
T2613,Ｊ－オイルミルズ,J-OIL MILLS
T261A,日水コン,NIHON SUIDO CONSULTANTS
T262A,インターメスティック,INTERMESTIC
T263A,デジタルキューブ,DIGITALCUBE
T264A,Ｓｃｈｏｏ,SCHOO
T2652,まんだらけ,MANDARAKE
T2653,イオン九州,AEON KYUSHU
T2654,アスモ,ASMO
T2656,ベクターホールディングス,VECTOR HOLDINGS
T2659,サンエー,SAN-A
T265A,Ｈｍｃｏｍｍ,HMCOMM
T2664,カワチ薬品,CAWACHI
T2666,オートウェーブ,AUTOWAVE
T2667,イメージ　ワン,IMAGEONE
T2668,タビオ,TABIO
T2669,カネ美食品,KANEMI
T266A,グローカルマーケティング,GLOCAL MARKETING
T2670,エービーシー・マート,ABC-MART
T2673,夢みつけ隊,YUMEMITSUKETAI
T2674,ハードオフコーポレーション,HARD OFF CORPORATION
T2676,高千穂交易,TAKACHIHO KOHEKI
T2678,アスクル,ASKUL
T267A,トワライズ,TOWARISE
T2681,ゲオホールディングス,GEO HOLDINGS
T2683,魚喜,UOKI
T2685,アダストリア,ADASTRIA
T2686,ジーフット,GFOOT
T2687,シー・ヴイ・エス・ベイエリア,CVS BAY AREA
T2689,オルバヘルスケアホールディング,OLBA HEALTHCARE HOLDINGS
T268A,リガク・ホールディングス,RIGAKU HOLDINGS
T2692,伊藤忠食品,ITOCHU-SHOKUHIN
T2693,ＹＫＴ,YKT
T2694,焼肉坂井ホールディングス,YAKINIKU SAKAI HOLDINGS
T2695,くら寿司,KURA SUSHI
T2698,キャンドゥ,CAN DO
T269A,Ｓａｐｅｅｔ,SAPEET
T2700,木徳神糧,KITOKU SHINRYO
T2702,日本マクドナルドホールディング,MCDONALDS HOLDINGS(JAPAN)
T2705,大戸屋ホールディングス,OOTOYA HOLDINGS
T2708,久世,KUZE
T271A,アクセリア,ACCELIA
T2721,ジェイホールディングス,J-HOLDINGS
T2722,ＩＫホールディングス,IK HOLDINGS
T2726,パルグループホールディングス,PAL GROUP HOLDINGS
T272A,グリーンクロスホールディングス,GREEN CROSS HOLDINGS
T2730,エディオン,EDION
T2733,あらた,ARATA
T2734,サーラコーポレーション,SALA
T2735,ワッツ,WATTS
T2736,フェスタリアホールディングス,FESTARIA HOLDINGS
T2737,トーメンデバイス,TOMEN DEVICES
T2742,ハローズ,HALOWS
T2743,ピクセルカンパニーズ,PIXEL COMPANYZ
T2747,北雄ラッキー,HOKUYU LUCKY
T2749,ＪＰホールディングス,JP-HOLDINGS
T274A,ガーデン,GARDEN
T2750,石光商事,S. ISHIMITSU
T2751,テンポスホールディングス,TENPOS HOLDINGS
T2752,フジオフードグループ本社,FUJIO FOOD GROUP
T2753,あみやき亭,AMIYAKI TEI
T275A,ハンワホームズ,HANWA HOMES
T2760,東京エレクトロン　デバイス,TOKYO ELECTRON DEVICE
T2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ,SANKO MARKETING FOODS
T2763,エフティグループ,FTGROUP
T2764,ひらまつ,HIRAMATSU
T2767,円谷フィールズホールディングス,TSUBURAYA FIELDS HOLDINGS
T2768,双日,SOJITZ
T2769,ヴィレッジヴァンガードコーポレ,VILLAGE VANGUARD
T276A,ククレブ・アドバイザーズ,CCREB ADVISORS
T2776,新都ホールディングス,SHINTO HOLDINGS
